Timestamp,Nama Tempat Makan,Lokasi Tempat Makan,Nama Menu,Kategori Tempat,Harga,Kategori Harga,Tujuan Makan,Lauk/Bahan Utama,Rasa,Waktu Makan,Waktu Makan
6/1/2026 19:16:57,D'kriuk Fried Chicken,Banjarsari,Nasi Fried Chicken Spicy,Fast Food,14000,Hemat,"Kenyang, Praktis","Ayam, Nasi",Pedas,Makan Siang,
6/1/2026 19:20:36,Burjo Priangan,Bulusan,Mie Tek-Tek,Burjo,12000,Hemat,Kenyang,Mie,Asin/Gurih,Makan Malam,
6/1/2026 19:22:13,Makanku,Gondang,Nasi Ayam KU Ayaki,Rice / Bowl,15000,Hemat,"Kenyang, Cukup Sehat","Ayam, Sayur, Nasi",Asin/Gurih,Makan Siang,
6/1/2026 19:23:18,Makanku,Gondang,Nasi Ayam KU Atsu,Rice / Bowl,15000,Hemat,"Kenyang, Cukup Sehat","Ayam, Nasi","Asin/Gurih, Manis",Sarapan,
6/1/2026 19:24:05,Makanku,Gondang,Nasi Ayam BB KU,Rice / Bowl,15000,Hemat,"Kenyang, Cukup Sehat","Ayam, Nasi","Asin/Gurih, Manis",Sarapan,
6/1/2026 19:25:07,Makanku ,Gondang,Nasi Sosis KU,Rice / Bowl,15000,Hemat,"Kenyang, Cukup Sehat","Nasi, Sosis","Asin/Gurih, Manis",Sarapan,
6/1/2026 19:26:07,Makanku,Gondang,Nasi Ayam KU Riyuk,Rice / Bowl,15000,Hemat,"Kenyang, Cukup Sehat","Ayam, Nasi",Asin/Gurih,Sarapan,
6/1/2026 19:29:01,Makanku,Gondang,Nasi Ayam Kara KU,Rice / Bowl,15000,Hemat,"Kenyang, Cukup Sehat","Ayam, Nasi",Asin/Gurih,Sarapan,
6/1/2026 19:29:55,Makanku,Gondang,Nasi Ayam Balado KU,Rice / Bowl,15000,Hemat,"Kenyang, Cukup Sehat","Ayam, Sayur, Nasi","Pedas, Asin/Gurih",Sarapan,
6/2/2026 14:44:53,Nasi Padang Karya Jaya Baru,Mulawarman,Nasi Ayam Rendang,Padang,13000,Hemat,Kenyang,"Ayam, Sayur, Nasi","Pedas, Asin/Gurih",Makan Siang,
6/2/2026 15:23:26,Burjo Polsek,Bulusan,Nasi Goreng Derfa,Burjo,15000,Hemat,Kenyang,"Telur, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 15:29:19,Ketoprak Indomie Mas Kembar,Banjarsari,Ketoprak Original,Pecel / Gado,10000,Hemat,"Kenyang, Cukup Sehat","Tahu, Sayur",Manis,Sarapan,
6/2/2026 15:30:11,Ketoprak Indomie Mas Kembar,Banjarsari,Ketoprak Telur Dadar,Pecel / Gado,12000,Hemat,Kenyang,"Telur, Tahu, Sayur",Manis,Sarapan,
6/2/2026 15:31:17,Ketoprak Indomie Mas Kembar,Banjarsari,Ketorak Telur Rebus,Pecel / Gado,13000,Hemat,Kenyang,"Telur, Tahu, Sayur",Manis,Sarapan,
6/2/2026 15:32:05,Ketoprak Indomie Mas Kembar,Banjarsari,Ketoprak Telur Ceplok,Pecel / Gado,13000,Hemat,Kenyang,"Telur, Tahu, Sayur",Manis,Sarapan,
6/2/2026 15:33:16,Ketoprak Indomie Mas Kembar,Banjarsari,Ketoprak Indomie + Telur Rebus,Pecel / Gado,16000,Sedang,Kenyang,"Telur, Tahu, Sayur, Mie","Asin/Gurih, Manis",Sarapan,
6/2/2026 15:34:15,Ketoprak Indomie Mas Kembar,Banjarsari,Ketoprak Indomie + Telur Ceplok,Pecel / Gado,16000,Sedang,Kenyang,"Telur, Tahu, Sayur, Mie","Asin/Gurih, Manis",Sarapan,
6/2/2026 15:35:26,Ketoprak Indomie Mas Kembar,Banjarsari,Ketoprak Jumbo Bihun + Indomie + Dadar,Pecel / Gado,19000,Sedang,Kenyang,"Telur, Tahu, Sayur, Mie","Asin/Gurih, Manis",Sarapan,
6/2/2026 15:36:13,Ketoprak Indomie Mas Kembar,Banjarsari,Ketoprak Jumbo Bihun + Indomie + Ceplok/Rebus,Pecel / Gado,20000,Sedang,Kenyang,"Telur, Tahu, Sayur, Mie","Asin/Gurih, Manis",Sarapan,
6/2/2026 15:44:53,Ketoprak Indomie Mas Kembar,Banjarsari,Lontong tahu Telur Kocok,Pecel / Gado,12000,Hemat,Kenyang,"Telur, Tahu, Sayur",Manis,Sarapan,
6/2/2026 15:46:05,Ketoprak Indomie Mas Kembar,Banjarsari,Lontong Tahu Tek + Telur,Pecel / Gado,13000,Hemat,Kenyang,"Telur, Tahu, Sayur","Asin/Gurih, Manis",Sarapan,
6/2/2026 15:48:44,Ketoprak Indomie Mas Kembar,Banjarsari,Lontong Sayur,Pecel / Gado,10000,Hemat,Kenyang,"Sayur, Nasi","Asin/Gurih, Manis",Sarapan,
6/2/2026 15:49:36,Ketoprak Indomie Mas Kembar,Banjarsari,Lontong Sayur + Telur,Pecel / Gado,10000,Hemat,Kenyang,"Telur, Sayur",Manis,Sarapan,
6/2/2026 15:50:56,Ketoprak Indomie Mas Kembar,Banjarsari,Indomie Aja,Pecel / Gado,5000,Sangat Hemat,"Praktis, Cemilan",Mie,Asin/Gurih,Sarapan,
6/2/2026 19:50:16,Kedai Tinari,Banyumanik,Bakmie Creamy Tinarian,Fast Food,37000,Mahal,Kenyang,Mie,Asin/Gurih,Makan Siang,
6/2/2026 19:51:32,Kedai Tinari,Banyumanik,Bakmi Creamy Mala,Fast Food,29000,Mahal,Kenyang,Mie,"Pedas, Asin/Gurih",Makan Malam,
6/2/2026 19:53:40,Kedai Harmoni,Mulawarman,Mie Ayam Charsiu,Fast Food,20000,Sedang,Kenyang,Mie,"Pedas, Tidak Pedas, Asin/Gurih, Manis",Makan Siang,
6/2/2026 19:54:45,Kedai Harmoni,Mulawarman,Mie Ayam Ngohiang,Fast Food,22000,Sedang,Kenyang,Mie,"Pedas, Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 19:55:25,Kedai Harmoni,Mulawarman,Mie Sapi Manis,Fast Food,25000,Sedang,Kenyang,Mie,"Pedas, Tidak Pedas, Asin/Gurih, Manis",Makan Siang,
6/2/2026 19:56:09,Kedai Harmoni,Mulawarman,Mie Harmoni Spesial,Fast Food,27000,Mahal,Kenyang,Mie,"Pedas, Tidak Pedas, Asin/Gurih, Manis",Makan Siang,
6/2/2026 19:57:00,Kedai Harmoni,Mulawarman,Nasi Ayam Charsiu,Fast Food,20000,Sedang,Kenyang,Mie,"Pedas, Tidak Pedas, Asin/Gurih, Manis",Makan Siang,
6/2/2026 19:58:06,Kedai Harmoni,Mulawarman,Nasi Ayam Ngohiang,Fast Food,22000,Sedang,Kenyang,"Ayam, Nasi","Pedas, Tidak Pedas, Asin/Gurih",Makan Siang,
6/2/2026 19:59:35,Kedai Harmoni,Mulawarman,Nasi Sapi Manis,Fast Food,25000,Sedang,Kenyang,"Ayam, Sayur, Nasi","Pedas, Tidak Pedas, Asin/Gurih, Manis",Makan Siang,
6/2/2026 20:00:35,Kedai Harmoni,Mulawarman,Nasi Harmoni Spesial,Fast Food,27000,Mahal,Kenyang,"Ayam, Sayur, Nasi","Pedas, Tidak Pedas, Asin/Gurih, Manis",Makan Siang,
6/2/2026 20:03:47,Kedai Harmoni,Mulawarman,Dimsum Ayam,Fast Food,15000,Hemat,"Praktis, Cemilan",Ayam,"Tidak Pedas, Asin/Gurih",Makan Siang,
6/2/2026 20:08:07,Bento Kopi,Mulawarman,Chicken Egg Sambal Matah,Burjo,17000,Sedang,"Kenyang, Praktis","Ayam, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:13:20,Kedai Tinari,Banyumanik,Bakmie Creamy Ayam Panggang ,Fast Food,29000,Mahal,Kenyang,"Ayam, Telur, Sayur, Mie","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:13:23,Nara Ramen,Jatimulyo,Spicy Chicken Katsu Ramen Cheese,Fast Food,33000,Mahal,Kenyang,"Ayam, Telur, Mie","Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:14:16,Kedai Tinari,Banyumanik,Bakmie Creamy Beef,Fast Food,32000,Mahal,Kenyang,"Telur, Daging, Sayur, Mie","Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:14:41,Depot Harmoni,Mulawarman,Mie Ayam Charsiu,Fast Food,18000,Sedang,Kenyang,"Ayam, Mie",Asin/Gurih,Makan Siang,
6/2/2026 20:15:33,Kedai Tinari,Banyumanik,Yamin Pangsit Goreng,Fast Food,16000,Sedang,Kenyang,Mie,"Tidak Pedas, Asin/Gurih, Manis",Makan Malam,
6/2/2026 20:16:37,Kedai Tinari,Banyumanik,Yamien Pangsit Rebus,Fast Food,16000,Sedang,Kenyang,Mie,"Tidak Pedas, Asin/Gurih, Manis",Makan Malam,
6/2/2026 20:17:41,Kedai Tinari,Banyumanik,Yamien Ayam Panggang,Fast Food,22000,Sedang,Kenyang,Mie,"Tidak Pedas, Asin/Gurih, Manis",Makan Malam,
6/2/2026 20:18:45,Kedai Tinari,Banyumanik,Yamien Ayam Panggang Pangsit Goreng,Fast Food,25000,Sedang,Kenyang,"Ayam, Mie","Tidak Pedas, Asin/Gurih, Manis",Makan Malam,
6/2/2026 20:19:49,Kedai Tinari,Banyumanik,Yamien Ayam Panggang Pangsit Rebus,Fast Food,25000,Sedang,Kenyang,"Ayam, Mie","Tidak Pedas, Asin/Gurih, Manis",Makan Malam,
6/2/2026 20:20:53,Kedai Tinari,Banyumanik,Yamien Beef,Fast Food,22000,Sedang,Kenyang,"Daging, Mie","Tidak Pedas, Asin/Gurih, Manis",Makan Malam,
6/2/2026 20:21:57,Kedai Tinari,Banyumanik,Yamien Beef Pangsit Goreng,Fast Food,25000,Sedang,Kenyang,"Daging, Mie","Tidak Pedas, Asin/Gurih, Manis",Makan Malam,
6/2/2026 20:23:01,Kedai Tinari,Banyumanik,Yamien Beef Pangsit Rebus,Fast Food,25000,Sedang,Kenyang,"Daging, Mie","Tidak Pedas, Asin/Gurih, Manis",Makan Malam,
6/2/2026 20:24:05,Kedai Tinari,Banyumanik,Pangsit Goreng,Fast Food,8000,Sangat Hemat,Cemilan,Gorengan,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:25:09,Kedai Tinari,Banyumanik,Pangsit Rebus,Fast Food,8000,Sangat Hemat,Cemilan,Gorengan,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:26:13,Kedai Tinari,Banyumanik,Pangsit Chillie Oil,Fast Food,9000,Sangat Hemat,Cemilan,Gorengan,"Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:27:17,Kedai Tinari,Banyumanik,Dimsum Siomay,Fast Food,12000,Hemat,Cemilan,Ayam,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:28:21,Kedai Tinari,Banyumanik,Disum Kuah Creamy,Fast Food,18000,Sedang,Cemilan,Ayam,"Tidak Pedas, Asin/Gurih",Makan Malam,
6/2/2026 20:29:25,Kedai Tinari,Banyumanik,Pao Telur Asin,Fast Food,18000,Sedang,Cemilan,Telur,"Tidak Pedas, Asin/Gurih",Makan Malam,
